"房屋户型","所在楼层","建筑面积","户型结构","套内面积","建筑类型","房屋朝向","建筑结构","装修情况","梯户比例","配备电梯","产权年限","title","price","url"
"2室1厅1厨1卫","中楼层 (共7层)","55.03㎡","平层","50.9㎡","塔楼","南 东","钢混结构","简装","一梯四户","无","70年","正规 小区中楼层两房，总价低看房方便，欢迎来电咨询_广州天河沙河天河山庄二手房(广州链家)","27258","https://gz.lianjia.com/ershoufang/108400700466.html"
"2室1厅1厨1卫","中楼层 (共19层)","87.53㎡","平层","77.8㎡","塔楼","东","钢混结构","简装","两梯四户","有","70年","电梯楼两房 户型方正 ,住家装修 ,楼下环境好_广州荔湾人民路海南大厦二手房(广州链家)","31990","https://gz.lianjia.com/ershoufang/108400310735.html"
"3室2厅1厨1卫","低楼层 (共16层)","89.33㎡","暂无数据","73.69㎡","塔楼","西南","钢混结构","简装","两梯九户","有","70年","百顺台花园 电梯方正三房两厅 厅出阳台 小区管理_广州白云新市百顺台花园二手房(广州链家)","27427","https://gz.lianjia.com/ershoufang/108400827108.html"
"2室1厅1厨1卫","高楼层 (共9层)","43.12㎡","平层","36.81㎡","塔楼","东北","钢混结构","简装","一梯九户","无","70年","紧贴越秀公园   证满5年  总价低_广州越秀小北机关宿舍二手房(广州链家)","52180","https://gz.lianjia.com/ershoufang/108400704775.html"
"2室1厅1厨1卫","低楼层 (共9层)","58.29㎡","平层","暂无数据","塔楼","北 南","钢混结构","精装","一梯十户","无","70年","阳光家园  交通便利  急售 ！！！_广州花都旧区花都阳光家园二手房(广州链家)","15441","https://gz.lianjia.com/ershoufang/108400691862.html"
"2室2厅1厨1卫","高楼层 (共17层)","88.69㎡","平层","71.09㎡","塔楼","南","钢混结构","精装","两梯四户","有","70年","四房带装修    望园林景观    双房产证_广州增城凤凰城翡翠绿洲育才阳光苑二手房(广州链家)","19168","https://gz.lianjia.com/ershoufang/108400303742.html"
"2室1厅1厨1卫","中楼层 (共9层)","62.43㎡","平层","56.4㎡","塔楼","南","钢混结构","简装","一梯四户","有","70年","寺贝底侧 正杨箕地铁口 电梯房 交通方便 诚心售_广州越秀东山口达道路二手房(广州链家)","49656","https://gz.lianjia.com/ershoufang/108400750809.html"
"3室1厅1厨1卫","中楼层 (共8层)","94.1㎡","平层","暂无数据","塔楼","南","钢混结构","简装","一梯十户","有","70年","华侨城 南向电梯3房 户型方正 采光通风_广州番禺市桥华侨城(番禺)二手房(广州链家)","19342","https://gz.lianjia.com/ershoufang/108400523147.html"
"3室2厅1厨1卫","中楼层 (共7层)","76.8㎡","平层","暂无数据","塔楼","东南","钢混结构","简装","一梯两户","无","70年","恒盛花园小3房 楼层靓  南向 业主诚心出售_广州番禺沙湾恒盛花园二手房(广州链家)","17579","https://gz.lianjia.com/ershoufang/108400772148.html"
"2室1厅1厨1卫","中楼层 (共9层)","43.77㎡","平层","暂无数据","塔楼","南","钢混结构","精装","一梯七户","无","70年","保利红棉花园 中低楼层两房 精装 南向 通风采光好_广州海珠江燕路保利红棉花园二手房(广州链家)","36555","https://gz.lianjia.com/ershoufang/108400639935.html"
"2室1厅1厨1卫","高楼层 (共6层)","78.4㎡","平层","67.05㎡","塔楼","南","钢混结构","简装","一梯一户","暂无数据","70年","大2房！交通便利，格局好！配套好！_广州番禺沙湾紫坭糖厂二手房(广州链家)","9694","https://gz.lianjia.com/ershoufang/108400672084.html"
"3室2厅1厨2卫","中楼层 (共33层)","96.67㎡","平层","暂无数据","塔楼","南","钢混结构","精装","两梯五户","有","70年","实地常春藤 精装96平三房 安静南向 中高层 看房方便_广州黄埔科学城实地常春藤二手房(广州链家)","23793","https://gz.lianjia.com/ershoufang/108400532034.html"
"3室2厅1厨2卫","低楼层 (共11层)","93㎡","平层","暂无数据","塔楼","西北","钢混结构","精装","一梯四户","有","70年","买房有大平台用，证在手随时交易，装修新净！_广州花都旧区阳光雅居二手房(广州链家)","16990","https://gz.lianjia.com/ershoufang/108400751482.html"
"3室2厅1厨1卫","低楼层 (共9层)","83.61㎡","平层","75㎡","塔楼","西","钢混结构","精装","一梯五户","无","70年","春暖花园 低楼层 精装三房 乐嘉路_广州白云机场路春暖花园二手房(广州链家)","24878","https://gz.lianjia.com/ershoufang/108400083395.html"
"3室2厅1厨1卫","中楼层 (共22层)","66.9㎡","平层","暂无数据","塔楼","北","钢混结构","精装","两梯七户","有","70年","区府板块叠翠峰精装小三房，业主诚心出售，价格可谈_广州南沙南沙区府叠翠峰二手房(广州链家)","23169","https://gz.lianjia.com/ershoufang/108400818026.html"
"2室2厅1厨2卫","中楼层 (共15层)","83.26㎡","平层","67.21㎡","塔楼","北","钢混结构","精装","两梯三户","有","70年","云山诗意 中高楼层，居住舒适是您的不二选择_广州白云黄边云山诗意二手房(广州链家)","41797","https://gz.lianjia.com/ershoufang/108400830630.html"
"3室2厅1厨1卫","高楼层 (共19层)","105.7㎡","平层","暂无数据","塔楼","东南","钢混结构","简装","两梯九户","有","70年","裕兴大厦 轻松上车 北城电梯高层三房_广州番禺市桥西环路裕兴大厦二手房(广州链家)","16084","https://gz.lianjia.com/ershoufang/108200018334.html"
"3室2厅1厨1卫","中楼层 (共32层)","109.33㎡","平层","暂无数据","塔楼","西南","钢混结构","精装","两梯三户","有","70年","阳光城丽景湾方正通透三房，小区环境优雅_广州南沙进港大道阳光城丽景湾二手房(广州链家)","18294","https://gz.lianjia.com/ershoufang/108400562149.html"
"1室1厅1厨1卫","中楼层 (共9层)","47.9㎡","平层","暂无数据","塔楼","北","钢混结构","精装","一梯五户","有","70年","白兰花园 电梯中层 采光通风好 户型方正 装修漂亮_广州白云景泰广信白兰花园二手房(广州链家)","37579","https://gz.lianjia.com/ershoufang/108400721015.html"
"3室1厅1厨1卫","中楼层 (共9层)","72.56㎡","平层","62.89㎡","塔楼","南","钢混结构","简装","一梯四户","无","70年","南向三房 采光充足  交通便利_广州海珠工业大道北工业大道北二手房(广州链家)","24118","https://gz.lianjia.com/ershoufang/108400723038.html"
"2室1厅1厨1卫","中楼层 (共31层)","76.58㎡","平层","59.46㎡","塔楼","南","钢混结构","精装","二十梯四户","有","70年","急售·蕉门地铁口两房，中惠璧珑湾，南北对流两房_广州南沙南沙区府中惠璧珑湾二手房(广州链家)","24158","https://gz.lianjia.com/ershoufang/108400731280.html"
"4室2厅1厨2卫","低楼层 (共33层)","108.93㎡","平层","暂无数据","塔楼","南","钢混结构","毛坯","两梯四户","有","70年","广州融创文旅城  毛坯房出售  钥匙在手 随时看房_广州花都花山镇广州融创文旅城A1区二手房(广州链家)","23043","https://gz.lianjia.com/ershoufang/108400619070.html"
"3室1厅1厨1卫","低楼层 (共13层)","72.39㎡","平层","61.86㎡","塔楼","北","钢混结构","精装","一梯六户","有","70年","逸景翠园 经典改造户型 直厅设计 采光明亮_广州海珠广州大道南逸景翠园二手房(广州链家)","41305","https://gz.lianjia.com/ershoufang/108400604415.html"
"1室1厅1厨1卫","低楼层 (共15层)","38.69㎡","平层","31.02㎡","塔楼","东南","钢混结构","精装","两梯七户","有","70年","精装修，格局方正，保养靓 小区管理好_广州番禺洛溪广州奥林匹克花园二手房(广州链家)","38253","https://gz.lianjia.com/ershoufang/108400463120.html"
"2室2厅1厨1卫","中楼层 (共24层)","71.21㎡","平层","暂无数据","塔楼","南","钢混结构","精装","两梯四户","有","70年","东港花园 南向中间楼层两房，通风采光好_广州黄埔文冲东港花园二手房(广州链家)","36231","https://gz.lianjia.com/ershoufang/108400583937.html"
"3室2厅1厨2卫","高楼层 (共27层)","105㎡","平层","85.33㎡","塔楼","南","钢混结构","精装","三梯六户","有","70年","电梯高层三房，通风采光好，业主自己住，保养新._广州荔湾坑口保利西悦湾二手房(广州链家)","40000","https://gz.lianjia.com/ershoufang/108400358656.html"
"4室2厅1厨3卫","高楼层 (共5层)","113.3㎡","复式","102.47㎡","塔楼","南","钢混结构","精装","一梯四户","无","70年","2号线南浦站旁 四房南向复式 少有放盘 业主诚心放卖_广州番禺南浦南浦海滨花园二手房(广州链家)","30892","https://gz.lianjia.com/ershoufang/108400667323.html"
"1室1厅1厨1卫","中楼层 (共9层)","41.95㎡","平层","暂无数据","塔楼","南","钢混结构","简装","一梯八户","无","70年","共和南  腾龙里  楼龄新 马赛克外墙 框架结构_广州越秀杨箕共和南路二手房(广州链家)","48868","https://gz.lianjia.com/ershoufang/108400788044.html"
"3室2厅1厨2卫","中楼层 (共6层)","106.82㎡","平层","100.12㎡","板楼","南","钢混结构","简装","一梯四户","无","70年","正苑洋房，106平方3房2卫。南向中楼层。通风光线足_广州顺德顺德碧桂园顺德碧桂园中北区（洋房）二手房(广州链家)","13107","https://fs.lianjia.com/ershoufang/108400814688.html"
"2室1厅1厨1卫","中楼层 (共31层)","64.57㎡","平层","暂无数据","塔楼","东南","钢混结构","精装","四梯十三户","有","70年","新唐城区 配套成熟 业主诚心出售_广州增城新塘南力诚凯怡湾二手房(广州链家)","19359","https://gz.lianjia.com/ershoufang/108400639322.html"
"2室1厅1厨1卫","高楼层 (共36层)","92.49㎡","平层","71.64㎡","塔楼","西","钢混结构","精装","三梯七户","有","70年","保利中环电梯高层西向两房出售 实收660万 预约看房_广州越秀建设路保利中环广场二手房(广州链家)","71360","https://gz.lianjia.com/ershoufang/108400770680.html"
"2室1厅1厨1卫","低楼层 (共9层)","47.64㎡","平层","42.26㎡","塔楼","东南","钢混结构","简装","一梯九户","无","70年","龙津中路 上车两房 带阳台 楼层低好爬 乐贤坊_广州荔湾龙津龙津中路二手房(广州链家)","31906","https://gz.lianjia.com/ershoufang/108400582562.html"
"2室1厅1厨1卫","中楼层 (共18层)","66.76㎡","平层","54.96㎡","塔楼","北","钢混结构","简装","两梯八户","有","70年","北向2房 户型方正 通风采光好 安静舒适 交通便利_广州天河棠下富力天朗明居S区二手房(广州链家)","44189","https://gz.lianjia.com/ershoufang/108400765141.html"
"2室1厅1厨1卫","高楼层 (共31层)","63.49㎡","平层","暂无数据","板楼","东 西","钢混结构","简装","两梯八户","有","70年","恒宝华庭，高层两房，景观视野好，过五唯一_广州荔湾西关恒宝华庭二手房(广州链家)","49615","https://gz.lianjia.com/ershoufang/108400601679.html"
"2室1厅1厨1卫","高楼层 (共9层)","44.41㎡","平层","35㎡","塔楼","东","钢混结构","简装","一梯九户","无","70年","丽景花苑  交通方便  户型方正_广州海珠磨碟沙丽景花苑二手房(广州链家)","32651","https://gz.lianjia.com/ershoufang/108400625741.html"
"1室1厅1厨1卫","低楼层 (共29层)","53.78㎡","平层","41.34㎡","塔楼","北","钢混结构","简装","三梯十户","有","70年","银业国际公寓 1室1厅 215万_广州海珠广州大道南银业国际公寓二手房(广州链家)","39978","https://gz.lianjia.com/ershoufang/108400819236.html"
"1室1厅1厨1卫","高楼层 (共7层)","37.71㎡","平层","暂无数据","塔楼","东南","钢混结构","简装","一梯四户","无","70年","晓港中马路 东南向 正规一房一厅_广州海珠昌岗晓港中马路二手房(广州链家)","23867","https://gz.lianjia.com/ershoufang/108400105694.html"
"1室1厅1厨1卫","低楼层 (共9层)","40.94㎡","平层","暂无数据","塔楼","南 北","钢混结构","简装","一梯四户","无","70年","富力路 实用一房 户型方正 采光好_广州荔湾南岸路富力路二手房(广州链家)","26869","https://gz.lianjia.com/ershoufang/108400373052.html"
"3室1厅1厨2卫","中楼层 (共18层)","102.46㎡","平层","84.24㎡","塔楼","南","钢混结构","精装","两梯六户","有","70年","同和 云裳丽影 精装修三房 户型方正采光好 环境优美_广州白云同和云裳丽影二手房(广州链家)","41773","https://gz.lianjia.com/ershoufang/108400796769.html"
"3室2厅1厨1卫","中楼层 (共39层)","88㎡","平层","暂无数据","塔楼","南","钢混结构","精装","两梯六户","有","70年","保利学府里 中层南北对流望泳池3房 全新未住_广州黄埔大沙地保利学府里二手房(广州链家)","47728","https://gz.lianjia.com/ershoufang/108400730062.html"
"2室2厅1厨1卫","中楼层 (共11层)","103㎡","平层","75.19㎡","塔楼","南","钢混结构","精装","一梯两户","有","70年","运动员方正两房，业主自住保养好，满五唯一，税费低_广州番禺亚运城亚运城运动员村二区二手房(广州链家)","23204","https://gz.lianjia.com/ershoufang/108400076035.html"
"3室2厅1厨1卫","低楼层 (共5层)","85㎡","平层","暂无数据","板楼","南","钢混结构","精装","一梯四户","无","70年","青怡居南向一楼带大花园中间位置不望马路_广州番禺祈福新村祈福新村青怡居二手房(广州链家)","30353","https://gz.lianjia.com/ershoufang/108400702007.html"
"3室1厅1厨1卫","中楼层 (共9层)","70.73㎡","平层","暂无数据","塔楼","西南 北","钢混结构","精装","一梯四户","无","70年","小北天秀社区 中层实用三房 视野开阔通风好 提前约看_广州越秀小北环市中路二手房(广州链家)","45243","https://gz.lianjia.com/ershoufang/108400446886.html"
"4室1厅1厨2卫","高楼层 (共33层)","132.7㎡","平层","105.12㎡","塔楼","北","钢混结构","精装","两梯五户","有","70年","中铁荔湾国际城，楼龄新 小区环境好  业主诚心出售_广州荔湾龙溪中铁荔湾国际城二手房(广州链家)","32028","https://gz.lianjia.com/ershoufang/108400708682.html"
"3室1厅1厨2卫","中楼层 (共27层)","92.51㎡","平层","73.44㎡","塔楼","北","钢混结构","毛坯","三梯八户","有","70年","北站网红盘！好房诚售！毛坯三居两卫，够两年钥匙房_广州花都铁路西祈福万景峰祈福天龙苑二手房(广州链家)","18593","https://gz.lianjia.com/ershoufang/108400722813.html"
"3室1厅1厨2卫","中楼层 (共35层)","95㎡","平层","暂无数据","塔楼","东南","钢混结构","精装","三梯六户","有","70年","万科欧泊全新没有住过的三房，东南高层_广州番禺万博万科欧泊二手房(广州链家)","41579","https://gz.lianjia.com/ershoufang/108400725066.html"
"3室2厅1厨1卫","中楼层 (共6层)","74.87㎡","平层","65.86㎡","塔楼","北","钢混结构","简装","一梯四户","无","70年","长江数码花园  望园景3房出售_广州番禺钟村长江数码花园(番禺)二手房(广州链家)","23775","https://gz.lianjia.com/ershoufang/108400151447.html"
"2室1厅1厨1卫","高楼层 (共9层)","64.29㎡","平层","64.29㎡","塔楼","西","钢混结构","精装","一梯五户","无","70年","厅出阳台方正两房 精装修 业主自住_广州白云机场路嘉利苑二手房(广州链家)","23954","https://gz.lianjia.com/ershoufang/108400670796.html"
"3室1厅1厨1卫","低楼层 (共4层)","56㎡","平层","暂无数据","塔楼","南 北","钢混结构","精装","一梯五户","无","70年","沿江路旁  大院管理  低楼层  精装修_广州越秀越秀南珠江园二手房(广州链家)","36608","https://gz.lianjia.com/ershoufang/108400661344.html"
"3室2厅1厨1卫","低楼层 (共18层)","91.39㎡","平层","72.71㎡","塔楼","南 北","钢混结构","精装","两梯六户","有","70年","尚领时代  实用三房 采光保养好 居住舒适_广州海珠金碧尚领时代二手房(广州链家)","36657","https://gz.lianjia.com/ershoufang/108400712180.html"
"3室2厅1厨1卫","低楼层 (共6层)","45.89㎡","平层","暂无数据","塔楼","东南","钢混结构","精装","一梯四户","无","70年","南村路 三房低楼层 交通方便 新装修_广州海珠江南大道中南村路二手房(广州链家)","34431","https://gz.lianjia.com/ershoufang/108400584290.html"
"2室2厅1厨1卫","低楼层 (共10层)","68㎡","平层","暂无数据","塔楼","西北","钢混结构","简装","一梯八户","有","70年","云景花园 方正两房 价格不贵 看房方便_广州白云京溪云景花园云桦苑二手房(广州链家)","38236","https://gz.lianjia.com/ershoufang/108400767757.html"
"3室2厅1厨2卫","高楼层 (共32层)","116㎡","平层","暂无数据","塔楼","南","钢混结构","精装","两梯五户","有","70年","广州东绿湖国际精装南向大三房两厅一厨2卫_广州增城石滩镇绿湖国际城二手房(广州链家)","12242","https://gz.lianjia.com/ershoufang/108400447240.html"
"3室2厅1厨1卫","高楼层 (共12层)","91.36㎡","平层","77.62㎡","塔楼","北","钢混结构","简装","一梯四户","有","70年","华南新城   北区三房 高楼层  主卧和阳台望珠江_广州番禺华南新城华南新城二手房(广州链家)","27365","https://gz.lianjia.com/ershoufang/108400765207.html"
"3室2厅1厨2卫","中楼层 (共9层)","80.94㎡","平层","71.08㎡","塔楼","南","钢混结构","简装","一梯两户","无","70年","穗芳阁 楼梯中低层 南向3房2厅 证过五年 户型方正_广州荔湾滘口穗芳阁二手房(广州链家)","21621","https://gz.lianjia.com/ershoufang/108400733776.html"
"2室1厅1厨1卫","中楼层 (共8层)","61.08㎡","平层","54.23㎡","塔楼","东南","钢混结构","精装","一梯三户","无","70年","地铁口100米 中层纯南向 新装修 间隔正厅出阳台_广州越秀东风西东风西路二手房(广州链家)","29143","https://gz.lianjia.com/ershoufang/108400419785.html"
"3室2厅1厨3卫","中楼层 (共8层)","48㎡","复式","暂无数据","塔楼","南","钢混结构","精装","一梯六户","有","70年","万科金色城金品，户型方正，装修好拎包入住_广州番禺桥南万科金色城品二手房(广州链家)","54167","https://gz.lianjia.com/ershoufang/108400672223.html"
"2室2厅1厨1卫","中楼层 (共5层)","46.2㎡","平层","4.46㎡","塔楼","东南","混合结构","精装","一梯三户","无","70年","中山七路宝园直 2室2厅 158万_广州荔湾西华路中山七路宝园直二手房(广州链家)","34200","https://gz.lianjia.com/ershoufang/108400555530.html"
"2室1厅1厨1卫","中楼层 (共9层)","61.42㎡","平层","54.06㎡","塔楼","西南","钢混结构","精装","一梯四户","无","70年","南向望花园，中低楼层，采光通风好_广州白云元下田春庭花园二手房(广州链家)","25888","https://gz.lianjia.com/ershoufang/108400606372.html"
"2室1厅1厨1卫","中楼层 (共7层)","68㎡","平层","暂无数据","塔楼","东南","钢混结构","精装","一梯四户","无","70年","广州碧桂园，花园两房，东南向，精致装修_广州番禺南浦广州碧桂园丽苑二手房(广州链家)","29706","https://gz.lianjia.com/ershoufang/108400710029.html"
"1室1厅1厨1卫","中楼层 (共7层)","53.8㎡","平层","暂无数据","塔楼","南","钢混结构","简装","一梯两户","无","70年","近地铁，南北对流， 中楼层，总价低_广州番禺市桥北丽园二手房(广州链家)","25093","https://gz.lianjia.com/ershoufang/108400768160.html"
"2室1厅1厨1卫","中楼层 (共9层)","72.41㎡","平层","62.55㎡","塔楼","北","钢混结构","简装","一梯六户","有","70年","江燕路 南燕苑  电梯实用大两房 格局方正_广州海珠江燕路南燕苑二手房(广州链家)","30107","https://gz.lianjia.com/ershoufang/108400648040.html"
"3室1厅1厨1卫","高楼层 (共7层)","83.05㎡","平层","暂无数据","塔楼","南","钢混结构","简装","一梯两户","无","70年","环境好 框架结构 实用高 采光通风好_广州越秀北京路都府小区都府街二手房(广州链家)","33113","https://gz.lianjia.com/ershoufang/108400641936.html"
"2室2厅1厨1卫","中楼层 (共17层)","69㎡","暂无数据","56.73㎡","塔楼","南","钢混结构","精装","两梯六户","有","70年","金碧世纪花园，南向两房，通风采光好_广州黄埔大沙地金碧世纪花园二手房(广州链家)","35943","https://gz.lianjia.com/ershoufang/108400103363.html"
"2室1厅1厨1卫","中楼层 (共9层)","67.87㎡","平层","58.76㎡","塔楼","南","钢混结构","精装","一梯五户","无","70年","小区管理  通风采光好 户型方正 楼龄新_广州白云机场路雅图居二手房(广州链家)","26374","https://gz.lianjia.com/ershoufang/108400719622.html"
"2室1厅1厨1卫","高楼层 (共8层)","59㎡","平层","53.19㎡","塔楼","东南 南","钢混结构","简装","一梯六户","有","70年","五羊小区 东南向电梯两房 生活交通便利_广州越秀五羊新城五羊小区二手房(广州链家)","58984","https://gz.lianjia.com/ershoufang/108400753087.html"
"2室1厅1厨1卫","中楼层 (共23层)","71.98㎡","平层","60.6㎡","塔楼","东","钢混结构","简装","两梯十户","有","70年","中楼层安静望花园，采光通风好户型方正，业主诚意出售_广州番禺大石今日丽舍二手房(广州链家)","26397","https://gz.lianjia.com/ershoufang/108400158980.html"
"3室2厅1厨2卫","中楼层 (共17层)","119㎡","平层","暂无数据","塔楼","南 北","钢混结构","精装","两梯三户","有","70年","精装大三房，南北双阳台，业主诚心出售._广州黄埔科学城万科里享水韵二手房(广州链家)","18740","https://gz.lianjia.com/ershoufang/108400820965.html"
"3室2厅1厨1卫","低楼层 (共29层)","108.66㎡","平层","87.02㎡","塔楼","北","钢混结构","精装","两梯四户","有","70年","棕榈园房子，中庭的装修风格，低层看花园。_广州天河汇景新城汇景新城棕榈园二手房(广州链家)","61477","https://gz.lianjia.com/ershoufang/108400690867.html"
"2室2厅1厨1卫","低楼层 (共18层)","71.25㎡","平层","58.98㎡","塔楼","东北","钢混结构","精装","两梯五户","有","70年","轩逸荟精装2房  装修保养好 通风采光好 现已改成3房_广州花都狮岭镇智烨山水豪庭二手房(广州链家)","12632","https://gz.lianjia.com/ershoufang/108400719931.html"
"2室1厅1厨1卫","中楼层 (共8层)","59.27㎡","平层","45.98㎡","塔楼","南","钢混结构","简装","一梯十户","无","70年","华侨城实用两房 中间楼层 南向单位_广州番禺市桥华侨城(番禺)二手房(广州链家)","20584","https://gz.lianjia.com/ershoufang/108400060310.html"
"1室0厅1厨1卫","高楼层 (共33层)","47.44㎡","平层","暂无数据","塔楼","东","钢混结构","精装","三梯十六户","有","70年","马赛国际公寓 高楼层单间 视野好 出行便利_广州天河珠江新城东马赛国际公寓二手房(广州链家)","38576","https://gz.lianjia.com/ershoufang/108400216912.html"
"1室1厅1厨1卫","中楼层 (共9层)","41.52㎡","平层","37.51㎡","塔楼","北","钢混结构","精装","一梯三户","无","70年","晓港东马路 精致一房一厅 中低楼层 框架结构_广州海珠新港西晓港东马路二手房(广州链家)","28180","https://gz.lianjia.com/ershoufang/108400730741.html"
"2室2厅1厨1卫","高楼层 (共22层)","76㎡","平层","暂无数据","塔楼","西","钢混结构","简装","两梯八户","有","70年","厅出阳台   户型方正  房大厅大 通风采光好_广州海珠金碧金碧花园第一金碧二手房(广州链家)","33158","https://gz.lianjia.com/ershoufang/108400345332.html"
"2室1厅1厨1卫","高楼层 (共23层)","54.9㎡","平层","暂无数据","塔楼","南","钢混结构","精装","四梯二十户","有","70年","水电广场，成熟社区，南向高层小两房，装修保养好_广州增城白江水电广场二手房(广州链家)","17487","https://gz.lianjia.com/ershoufang/108400737408.html"
"2室2厅1厨1卫","高楼层 (共9层)","65.95㎡","平层","59.1㎡","塔楼","西南","钢混结构","简装","一梯五户","无","70年","准电梯两房，格局方正实用，满五唯一。_广州天河燕塘侨源山庄二手房(广州链家)","33359","https://gz.lianjia.com/ershoufang/108400817753.html"
"2室2厅1厨1卫","中楼层 (共6层)","74.5㎡","平层","67.3㎡","塔楼","北","钢混结构","精装","一梯八户","无","70年","户型方正，采光好，装修保养的很好._广州天河沙太南南华工商学院二手房(广州链家)","27115","https://gz.lianjia.com/ershoufang/108400478872.html"
"2室2厅1厨1卫","中楼层 (共5层)","74㎡","平层","暂无数据","塔楼","西南","钢混结构","精装","一梯四户","无","70年","华林居实用两房 西南向采光好 装修保养新净_广州番禺南浦丽江花园华林居二手房(广州链家)","30406","https://gz.lianjia.com/ershoufang/108400549976.html"
"2室1厅1厨1卫","中楼层 (共22层)","98㎡","平层","暂无数据","塔楼","东南","钢混结构","简装","两梯八户","有","70年","东南靓向  电梯两房  证满5年_广州荔湾汾水金兰苑二手房(广州链家)","23266","https://gz.lianjia.com/ershoufang/108400828711.html"
"2室2厅1厨1卫","低楼层 (共8层)","62㎡","平层","暂无数据","塔楼","北","钢混结构","精装","两梯四户","有","70年","宏康小筑   业主诚心出售  精装大两房_广州黄埔科学城宏康小筑二手房(广州链家)","16130","https://gz.lianjia.com/ershoufang/108400832747.html"
"3室2厅1厨2卫","中楼层 (共9层)","86.7㎡","平层","暂无数据","塔楼","南","钢混结构","精装","一梯六户","无","70年","房子格局方正，配套完善，交通方便。_广州花都旧区新中路二手房(广州链家)","12688","https://gz.lianjia.com/ershoufang/108400683562.html"
"2室1厅1厨1卫","高楼层 (共9层)","73.38㎡","平层","暂无数据","塔楼","南","钢混结构","简装","一梯四户","有","70年","同福中路，南向电梯两房，采光好，视野佳_广州海珠宝岗同福中路二手房(广州链家)","29981","https://gz.lianjia.com/ershoufang/108400056782.html"
"2室1厅1厨1卫","低楼层 (共9层)","60.42㎡","平层","54.21㎡","塔楼","西南","钢混结构","精装","一梯六户","无","70年","飞翔公园地铁 乐嘉路 中层 户型好 精装修_广州白云机场路嘉利苑二手房(广州链家)","26482","https://gz.lianjia.com/ershoufang/108400636700.html"
"2室2厅1厨1卫","中楼层 (共16层)","75.1㎡","暂无数据","60.26㎡","塔楼","西北","钢混结构","简装","两梯八户","有","70年","金典刚需小两房，三阳台，户型好_广州白云罗冲围富力桃园二手房(广州链家)","31958","https://gz.lianjia.com/ershoufang/108400829360.html"
