,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,title,price,房间数量,客厅数量,厨房数量,厕所数量,楼层,楼层总数
1805,109.27,北,简装,十梯四户,1,翠华花园 户型反正 北向望花园_广州花都旧区翠华花园二手房(广州链家),13545,3,2,1,1,中,7
1407,106.59,北,精装,一梯四户,0,步梯三房 中低楼层 采光好 满五唯一_广州花都旧区翠华花园二手房(广州链家),13604,3,2,1,1,中,7
1895,73.41,南,简装,一梯两户,0,群星花园步梯，南向通透小三房，户型方正，采光充足_广州增城新塘南群星花园二手房(广州链家),13623,3,2,1,1,中,8
348,157.57,南,精装,两梯四户,1,金泽华庭   环境优美  管理完善_广州增城新塘南金泽华庭二手房(广州链家),13645,4,2,2,2,中,20
168,112,北,简装,一梯四户,0,实用三房两厅两卫  楼层适中 业主诚意出售 看房方便_广州花都狮岭镇雅宝新城二手房(广州链家),13661,3,2,1,2,中,7
480,101,北,精装,一梯十一户,0,地铁口物业，距离医院银行那些也很方便，衣食住行完善_广州花都旧区艺景明苑二手房(广州链家),13664,3,2,1,1,中,8
1588,82.45,北,精装,两梯八户,1,高楼层望花园 自住标准精装修 卧室自住标准实木地板_广州花都花东镇富力金港城东区二手房(广州链家),13706,2,1,1,1,高,16
1690,93.35,北,毛坯,一梯四户,0,番禺亚运城1200米、海愉苑、理想家园、小三房双阳台。_广州番禺亚运大道中海愉苑二手房(广州链家),13712,3,1,1,1,高,6
1750,97,西,毛坯,两梯五户,1,格局方正，三房带主套，带入户花园，采光充足。_广州增城荔城增江敏捷锦绣星辰二手房(广州链家),13712,3,2,2,1,低,18
1468,80.2,南,简装,一梯四户,0,青晖小区 地铁花城路站 方正三房 双阳台 业主诚意出售_广州花都旧区青晖小区二手房(广州链家),13716,3,2,1,1,中,9
1083,120,西南 北,精装,两梯四户,1,近地铁温馨大三房带精装修业主诚心出售_广州增城荔城西区景新花园二手房(广州链家),13750,3,2,1,2,低,15
265,87.21,南 北,精装,一梯两户,0,华标茘苑  地铁口物业  精装两房  钥匙在手_广州从化太平镇华标荔苑二手房(广州链家),13760,2,2,1,1,低,6
1607,145.01,南 北,精装,一梯两户,0,环境优南北对流 空气好 地铁精装洋房带大平台_广州从化神岗镇逸泉山庄二手房(广州链家),13793,4,2,1,3,中,4
616,71,东南,简装,一梯两户,0,大东路 南向三房 证过两年 价格可议_广州番禺市桥大东路二手房(广州链家),13803,3,1,1,1,高,8
531,56.48,东北,精装,一梯三户,0,高楼层，视野宽阔，采光充足，实用两房_广州从化旺城片区旺城花苑西区二手房(广州链家),13811,2,1,1,1,高,8
1084,104.77,南,精装,两梯四户,1,珠江壹城 视野宽阔 采光充足 配套实施完善 交通便利_广州从化神岗镇珠江壹城二手房(广州链家),13840,3,2,1,2,低,28
1691,104.74,南 北,精装,两梯四户,1,证满两年，税费低， 户型简约实用， 中高楼层_广州从化神岗镇珠江壹城二手房(广州链家),13844,3,2,1,1,中,28
1504,115.53,东,精装,两梯四户,1,五年唯一，税费底，采光好，户型方正。_广州增城增城碧桂园碧桂园豪园鹤鸣苑二手房(广州链家),13850,3,2,1,2,中,11
1250,84.6,南 北,毛坯,两梯四户,1,满五唯一，中楼层，格局方正实用_广州增城永和太阳城巧克力二手房(广州链家),13948,2,2,1,1,中,18
1229,93.1,南,精装,一梯三户,0,公园前路小区 秀全公园门口 大3房 全新精装修_广州花都旧区公园前路二手房(广州链家),13964,3,2,1,1,中,8
1891,150,南,精装,两梯五户,1,业主急卖，高层南向，视野开阔无遮挡，满五年唯一。_广州花都狮岭镇雅宝新城亚瑟公馆二手房(广州链家),14000,3,2,1,2,高,19
381,107,南,精装,两梯四户,1,碧桂园 豪园南向大三房，精装未住人_广州增城增城碧桂园碧桂园豪园荔山苑二手房(广州链家),14019,3,2,1,2,高,24
1357,81.39,东,精装,三梯十六户,1,新利大厦高层精装小三房满五唯一_广州增城新塘南新利大厦二手房(广州链家),14130,3,2,1,1,高,17
1736,106,南,精装,一梯六户,1,新天地三房带主套，仅售150万格局方正，随时看房约起_广州增城新塘南锦绣新天地二手房(广州链家),14151,3,1,1,2,低,11
923,98.84,南,精装,一梯四户,0,富力金港城南向实用三房，户型方正通透_广州花都花东镇富力金港城东区二手房(广州链家),14165,3,2,1,1,中,9
428,60,南,简装,一梯两户,0,环城西路工农大街 2室1厅 85万_广州番禺市桥环城西路工农大街二手房(广州链家),14167,2,1,1,1,中,5
1350,108.4,东北,精装,一梯七户,0,大南路 业主自住 精装修 精致3房_广州番禺市桥市桥大南路二手房(广州链家),14299,3,2,1,1,高,7
967,103.49,南,毛坯,一梯两户,1,区府板块 近花都广场地铁 南向采光好 配套齐全_广州花都旧区东骏花园二手房(广州链家),14301,3,2,1,1,高,8
613,101.27,南,精装,一梯六户,1,刚需实用三房，采光好，价格实惠_广州增城新塘南锦绣新天地二手房(广州链家),14319,3,1,1,1,高,11
1535,73.32,北,毛坯,一梯六户,0,威华国际花园刚需小两房 安静对中庭 距地铁口300米_广州增城朱村汇港威华国际二手房(广州链家),14321,2,2,1,1,低,31
1960,83.5,南,精装,一梯三户,0,建发广场三房一卫南向，保养很好，拎包可入住_广州番禺石楼建发广场二手房(广州链家),14372,3,2,1,1,中,6
2001,63.96,东南,精装,一梯六户,0,锋尚低楼层精装两房，随时可领包入住_广州南沙大岗镇双晖轩小区二手房(广州链家),14384,2,1,1,1,低,6
300,83.31,南,精装,两梯八户,1,富力金港城东区南向两房，电梯高层_广州花都花东镇富力金港城东区二手房(广州链家),14405,2,2,1,1,中,18
1552,114.38,南,精装,两梯四户,1,电梯精装  厅大房大  位置安静 景观房 交通便利_广州花都铁路西天马丽苑二期二手房(广州链家),14426,3,2,1,2,低,33
800,87.59,东北,精装,两梯四户,1,刚需户型，大盘配套，经典三房！户型方正_广州从化神岗镇珠江壹城二手房(广州链家),14500,3,2,1,1,高,27
2039,68.71,南,简装,一梯两户,0,双地铁，华西路商品房 ，精致两房 ，通风采光好_广州白云人和华西路二手房(广州链家),14554,2,1,1,1,中,6
562,113.22,东南,简装,一梯八户,0,急售降10万 近地铁 格局方正，楼间距宽，采光度好。_广州花都旧区华侨花园二手房(广州链家),14574,3,2,1,2,中,9
1205,80.84,南,精装,一梯一户,0,区政府板块：永大新城、地铁口物业_广州花都旧区永大新城二手房(广州链家),14597,3,1,1,1,高,7
929,100,北,精装,一梯八户,0,花果山地铁口物业，锦砖低层，五年唯一_广州花都旧区翡翠小区二手房(广州链家),14600,3,1,1,1,中,10
561,115,北,毛坯,两梯四户,1,满二 碧桂园城市花园前后中庭 安静户型方正 视野好_广州增城朱村碧桂园城市花园花岸苑二手房(广州链家),14783,3,2,1,2,高,26
1806,84.37,南,精装,一梯两户,0,大北路 精装修 格局端正三房 通风采光好_广州番禺市桥大北路二手房(广州链家),14816,3,1,1,1,高,7
441,101,南 西,简装,一梯八户,1,此房满五唯一，楼层好，采光充足，交通便利_广州南沙进港大道美福花园二手房(广州链家),14852,3,2,1,1,中,21
653,126.02,南 北,毛坯,一梯两户,1,路劲隽悦豪庭毛坯三房带主套 轻轨口南北对流证过两年_广州花都旧区路劲隽悦豪庭一期二手房(广州链家),14919,3,1,1,2,中,11
421,113.9,南,简装,一梯四户,0,方正三房 装修保养好 采光好 朝向好。_广州番禺大石富丽家园二手房(广州链家),14926,3,2,1,1,高,8
855,108.52,南,精装,两梯三户,1,怡康花园 地铁口物业 满五唯一 冰点税费_广州花都旧区怡康花园(花都)二手房(广州链家),14929,3,2,1,2,中,8
210,91.74,东南 南,精装,两梯四户,1,太平地铁口200米小区 三房两厅 新装修 红本在手_广州从化太平镇华标荔苑二手房(广州链家),14934,3,2,1,1,低,12
978,107,南,精装,一梯四户,1,产权过二，保养好，方正实用，通风采光好，生活便利_广州增城新塘北富雅都市华庭二手房(广州链家),14954,3,2,1,2,低,11
353,100.2,东南,精装,两梯四户,1,恒大山水城 真盘实价业主诚心出售 精装小三房_广州增城中新镇恒大山水城二手房(广州链家),14971,3,2,1,1,中,18
1748,106.86,东北,精装,一梯四户,1,富雅都市华庭 精装三房 业主诚心放卖_广州增城新塘北富雅都市华庭二手房(广州链家),14973,3,1,1,2,高,11
1562,113.28,南,精装,两梯四户,1,南向望花园3房，格局靓，实用高，光线好，_广州增城荔城西区荔城碧桂园二手房(广州链家),15008,3,2,1,2,高,6
2067,103.16,南,精装,一梯四户,1,楼层好，视野宽阔，采光充足，配套设施齐全，交通便利_广州增城增城区府江畔豪庭二手房(广州链家),15026,3,2,1,2,中,8
178,99.8,南,毛坯,两梯四户,1,金时花园 3室2厅 150万_广州增城荔城增江金时花园二手房(广州链家),15031,3,2,1,2,中,18
1076,102.7,南 北,精装,两梯五户,1,富力金港城北区南向三房 望花园 采光好视野好_广州花都花东镇富力金港城北区二手房(广州链家),15093,3,2,1,1,高,18
1899,117.85,东南 南,毛坯,两梯四户,1,荔富湖畔 南向 望花园  3房带主套  价格美丽_广州增城朱村荔富湖畔二手房(广州链家),15104,3,2,1,2,中,32
2081,99,东南,精装,两梯四户,1,恒大山水城南向3房，位置好。总价低_广州增城中新镇恒大山水城二手房(广州链家),15152,3,2,1,2,高,18
961,131.8,南,毛坯,三梯四户,1,嘉汇城 3房南北对流 全新毛坯 证满2年证 看房方便_广州白云镜湖大道嘉汇城西区二手房(广州链家),15175,3,2,1,2,中,33
339,80.29,东,精装,两梯八户,1,嘉骏豪苑精装两房没欠款性.价比.高业主诚心放卖_广州增城新塘南嘉骏豪苑二手房(广州链家),15195,2,1,1,1,高,12
1618,87.5,南,简装,一梯两户,0,南北对流 中间楼层 采光充足 业主诚心诚意出售_广州番禺钟村华盛楼二手房(广州链家),15200,3,2,1,1,中,5
2022,95.13,南,精装,两梯三户,1,从化逸泉山庄 地铁 精装修 南向 刚需 三房_广州从化神岗镇逸泉山庄二手房(广州链家),15243,3,2,1,1,中,15
2096,120,南,简装,两梯十四户,1,丽景阁  繁华商圈   交通便利_广州番禺市桥丽景阁二手房(广州链家),15250,3,2,1,1,中,11
749,118.03,南,精装,两梯五户,1,海伦春天精装三房诚意出售，看房方便。_广州增城永和海伦春天丁香苑二手房(广州链家),15251,3,2,1,2,高,25
1109,53.1,南,简装,一梯一户,0,实用两房，价格合理，住家装修，值得入手_广州番禺市桥工业路景楼大街二手房(广州链家),15255,2,1,1,1,高,5
1596,156,南 北,简装,一梯四户,1,此房过五年，4房优选，户型方正，单价低_广州花都镜湖大道云峰花园1期二手房(广州链家),15257,4,2,1,2,中,11
1034,73.41,北,简装,两梯二十六户,1,老黄埔电梯两房诚意出售，户型可变_广州黄埔开发东区南康新村二手房(广州链家),15257,2,2,1,1,中,11
1655,79.66,南,毛坯,一梯四户,0,珠江源昌花园2房大毛胚南向住宅_广州南沙万顷沙珠江源昌花园二手房(广州链家),15316,2,2,1,1,中,27
741,58.74,南,精装,两梯八户,1,城市家园 正规一房一厅 正南向 采光充足_广州增城新塘北城市家园一期二手房(广州链家),15322,1,1,1,1,中,19
1282,110.86,北,简装,一梯三户,0,离新塘地铁口大约800米.出行方便._广州增城新塘北亚太新城富丽园二手房(广州链家),15335,3,2,1,2,中,7
529,82.73,南 北,精装,一梯两户,0,南北通透，户型好，交通便利，近地铁_广州增城新塘北亚太新城富丽园二手房(广州链家),15352,2,2,2,2,高,7
172,79.87,南,精装,一梯四户,0,美景阁 南向三房实用率高 中楼层  一手业主 装修好_广州增城新塘北美景阁二手房(广州链家),15401,3,1,1,1,中,7
970,76.5,南 北,简装,一梯两户,0,公园旁，南北双阳台，通风采光好_广州番禺市桥平康路隆基大街二手房(广州链家),15425,2,1,1,1,中,5
298,44.06,南,精装,一梯八户,1,新康花园康馨苑，业主诚心出售。_广州增城白江新康花园康馨苑二手房(广州链家),15434,1,0,1,1,高,11
